layer,position,token,pearson,r2,accuracy,mse
11,0,Ġand,0.9938082239998884,0.9250571152333851,0.0044444444444444444,5.562783818902949
11,1,Ġ,0.9981906191140192,0.9326688229397375,0.0044444444444444444,4.997789762496163
11,2,?Ċ,0.9965817762876977,0.834662541926342,0.0044444444444444444,12.272499774927379
11,3,Answer,0.9849836602812667,0.7332962595793279,0.0033333333333333335,19.796612530639063
11,4,:,0.9773531210571994,0.6516776999985967,0.0011111111111111111,25.854911513548178
11,5,Ġ,0.9943304912384096,0.9063599719199414,0.005555555555555556,6.950616254332052
12,0,Ġand,0.9923063702830941,0.9043503047149924,0.006666666666666667,7.099787776670498
12,1,Ġ,0.9984292591303019,0.8953610946668515,0.0044444444444444444,7.76702966836231
12,2,?Ċ,0.9904361752016195,0.8815813435576059,0.0033333333333333335,8.789858943452735
12,3,Answer,0.9898023822937975,0.8211953616043184,0.0044444444444444444,13.272127865237742
12,4,:,0.9802446726073716,0.7683049847706969,0.0033333333333333335,17.198020674701837
12,5,Ġ,0.9952186492396379,0.9137998772672542,0.005555555555555556,6.398374567758531
13,0,Ġand,0.9879016645400117,0.8610218856365164,0.0044444444444444444,10.315925363300515
13,1,Ġ,0.9982507690005009,0.8846989589509504,0.0044444444444444444,8.55844777589937
13,2,?Ċ,0.9915618366586955,0.9029331014319874,0.0044444444444444444,7.204982492824638
13,3,Answer,0.985509725512419,0.73082097139247,0.0033333333333333335,19.980345691109935
13,4,:,0.9824793129296644,0.7935575220645308,0.0022222222222222222,15.323601158001289
13,5,Ġ,0.9970465835830498,0.9402307930294518,0.006666666666666667,4.436487579038856
14,0,Ġand,0.990764766520321,0.8866509339271386,0.0022222222222222222,8.413558573325194
14,1,Ġ,0.9976352198189418,0.9054792641843702,0.006666666666666667,7.015988527575545
14,2,?Ċ,0.9924741028310279,0.9123416668481643,0.005555555555555556,6.506613119678833
14,3,Answer,0.9952259748391687,0.469243328928418,0.0033333333333333335,39.396463464227985
14,4,:,0.994645758719758,0.8300996980899812,0.0044444444444444444,12.611185881555555
14,5,Ġ,0.9965286222251606,0.9314948698959624,0.0022222222222222222,5.084928748624083
15,0,Ġand,0.994783270948644,0.9327955692116247,0.0022222222222222222,4.988381769828735
15,1,Ġ,0.9985462923287355,0.9224218716517885,0.008888888888888889,5.758389984854864
15,2,?Ċ,0.9905374533618778,0.889725877317895,0.0044444444444444444,8.185314819546422
15,3,Answer,0.9944947342146553,0.157036704776228,0.0033333333333333335,62.57061752030176
15,4,:,0.9930603181626809,0.7488189882944285,0.0011111111111111111,18.644407296072906
15,5,Ġ,0.9982384367596553,0.9394032848068452,0.008888888888888889,4.4979110132322395
16,0,Ġand,0.9951433461624688,0.940297902730799,0.006666666666666667,4.431506228749113
16,1,Ġ,0.9991882646390479,0.95156210151711,0.008888888888888889,3.595398799250886
16,2,?Ċ,0.9855857153802144,0.8147883095443761,0.0,13.74770397412264
16,3,Answer,0.9981462570332889,0.3758707584901756,0.0,46.327227146207505
16,4,:,0.9932017993733343,0.8624727454304841,0.006666666666666667,10.208232426065521
16,5,Ġ,0.9980748772838817,0.9417153530217998,0.0077777777777777776,4.326293177938044
17,0,Ġand,0.9973390815838963,0.943701076335138,0.0033333333333333335,4.178898938302673
17,1,Ġ,0.9981641766603848,0.9558196355112478,0.006666666666666667,3.279374919401918
17,2,?Ċ,0.9806120030556882,0.7208932276684984,0.0022222222222222222,20.7172521008099
17,3,Answer,0.9956351744775946,0.7010627466763624,0.0022222222222222222,22.1892087665781
17,4,:,0.9922288529467034,0.8237728167078916,0.0044444444444444444,13.080811163341941
17,5,Ġ,0.9985429818278456,0.9245311382200516,0.008888888888888889,5.60182550281995
18,0,Ġand,0.9965186965117985,0.9496485185856953,0.0033333333333333335,3.737438276382729
18,1,Ġ,0.998440730603499,0.9736734530579929,0.0077777777777777776,1.954140006655109
18,2,?Ċ,0.9790018781097166,0.7532159807065302,0.0022222222222222222,18.31803183937612
18,3,Answer,0.9977164764145801,0.414015266715102,0.0,43.4958755936962
18,4,:,0.9872898673147555,0.8273281283170092,0.0022222222222222222,12.816911128642884
18,5,Ġ,0.998778903975335,0.9482230396343168,0.01,3.8432472703867617
19,0,Ġand,0.9974293242800689,0.9638941713077742,0.0033333333333333335,2.680026532774574
19,1,Ġ,0.9990828525396469,0.9616216545165268,0.012222222222222223,2.848708585432463
19,2,?Ċ,0.9863002115319858,0.8307815141118737,0.0011111111111111111,12.560576739061718
19,3,Answer,0.9960913897813519,0.13412037997955206,0.0,64.27162704461702
19,4,:,0.9925651009598204,0.8661524673106572,0.008888888888888889,9.935097792980127
19,5,Ġ,0.9989676683873144,0.9315026933594402,0.008888888888888889,5.084348036576793
20,0,Ġand,0.9979367259378338,0.952838414945426,0.0044444444444444444,3.5006619111661115
20,1,Ġ,0.9990173686432496,0.9684411192413428,0.01,2.3425203309647773
20,2,?Ċ,0.9811387258220542,0.7597559457513658,0.0033333333333333335,17.832590001356444
20,3,Answer,0.9918969108219537,0.006049286452768365,0.0,73.77795721803689
20,4,:,0.994726193752137,0.8524210598912083,0.0077777777777777776,10.954338662097324
20,5,Ġ,0.9985578894830172,0.9207516864536383,0.006666666666666667,5.882362783924113
21,0,Ġand,0.9986359322089924,0.9472676524084621,0.01,3.914162776472777
21,1,Ġ,0.9991472671291074,0.9738965246535033,0.0022222222222222222,1.937582076361573
